名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1	魔法属性索引2	魔法属性索引3	魔法属性索引4	魔法属性索引5	魔法属性索引6	所在套装
洞察之白玉乾坤佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	黄金装备	4	99999	10	0	31	60	60																			36	80											65	6	298	2	11	100	30
洞察之白金锈凤戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	0	99999	10	0	31	60	60																			36	80											53	7	65	2	10	98	30
洞察之翡翠玉项圈	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	黄金装备	2	99999	10	0	31	60	60																			36	80											65	7	53	3	10	99	30
定业头冠	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	黄金装备	0	99999	10	0	30	310	310	31	60	60																36	85											5	4	57	85	61	31	31
定业战袍	0	2	20	\spr\item\equip\armor\obj-ma-cloth20-3.spr	22	2	3	黄金装备	4	99999	10	0	30	630	630	31	60	60																36	85											6	2	62	97	57	39	31
定业腰带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备	3	99999	10	0	30	140	140	31	60	60																36	85											5	4	57	89	61	27	31
定业护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	1	99999	10	0	30	115	115	31	60	60																36	85											62	3	6	81	57	35	31
定业战靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	2	99999	10	0	30	140	140	31	60	60																36	85											61	60	6	93	2	103	31
定业扳指	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	85											2	130					31
定国头冠	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	黄金装备	0	99999	10	0	30	350	350	31	60	60																36	99											6	85	63	4	59	31	32
定国战袍	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	23	2	3	黄金装备	4	99999	10	0	30	720	720	31	60	60																36	99											6	97	63	4	59	39	32
定国腰箍	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	3	99999	10	0	30	160	160	31	60	60																36	99											6	89	63	4	59	27	32
定国护腕	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备	1	99999	10	0	30	135	135	31	60	60																36	99											6	81	63	4	59	35	32
定国战靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	2	99999	10	0	30	160	160	31	60	60																36	99											6	93	63	4	59	103	32
定国扳指	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	99											3	130					32
定国之青纱长衫	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备	0	99999	10	0	30	630	630	31	80	80																36	85											306	2					33
定国之钨砂发冠	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	黄金装备	2	99999	10	0	30	260	260	31	70	70																36	75											1	307					33
定国之赤绢软靴	0	5	1	\Spr\item\equip\boots\obj-shoes06.spr	26	2	2	黄金装备	1	99999	10	0	30	140	140	31	70	70																36	80											308	2					33
定国之紫藤护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	黄金装备	3	99999	10	0	30	111	111	31	60	60																36	75											1	309					33
定国之银蚕腰带	0	6	1	Spr\item\equip\sash\obj-sash17.spr	33	2	1	黄金装备	4	99999	10	0	30	140	140	31	60	60																36	75											1	28					33
安邦之冰晶石项链	0	4	0	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	黄金装备	4	99999	10	0																						36	85											310						34
安邦之菊花石指环	0	3	0	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	2	99999	10	0																						36	80											6	312					34
安邦之田黄石玉佩	0	9	1	\Spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备	1	99999	10	0																						36	75											6	313					34
安邦之鸡血石戒指	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	3	99999	10	0																						36	80											6	311					34
安邦冰晶石项链	0	4	0	\Spr\item\equip\nick\obj-neck01.spr	36	2	1	黄金装备	4	99999	10	0																						36	50											314	315					35
安邦菊花石指环	0	3	0	\Spr\item\equip\ring\obj-ring01.spr	37	1	1	黄金装备	2	99999	10	0																						36	50											314	315					35
安邦田黄石玉佩	0	9	1	\Spr\item\equip\waist\obj-waist11.spr	36	1	2	黄金装备	0	99999	10	0																						36	50											314	315					35
安邦鸡血石戒指	0	3	0	\Spr\item\equip\ring\obj-ring01.spr	37	1	1	黄金装备	3	99999	10	0																						36	50											314	315					35
